Date,BTC,SPY,DJI,IXIC,NYSE,TNX,XAU/USD,VIX,IYR,VNQ,HashDiff,Hashrate,Address,Transaction,GreedIndex
2020-01-01,7200.17431640625,,,,,,,,,,13798783827516.0,96717718.3123778,389706.0,287215.0,37.0
2020-01-02,6985.47021484375,298.57861328125,28868.80078125,9092.1904296875,14002.490234375,1.8819999694824219,1524.5,12.470000267028809,79.21231079101562,73.74559020996094,13798783827516.0,96717718.3123778,407045.75,287215.0,39.0
2020-01-03,7344.88427734375,296.3177185058594,28634.880859375,9020.76953125,13917.0498046875,1.7879999876022339,1549.199951171875,14.020000457763672,79.78025817871094,74.20393371582031,13798783827516.0,95688806.41543762,424385.5,287215.0,38.0
2020-01-04,7410.65673828125,,,,,,,,,,13798783827516.0,94659894.51849744,441725.25,287215.0,38.0
2020-01-05,7411.3173828125,,,,,,,,,,13798783827516.0,93630982.62155727,459065.0,294916.0,39.0
2020-01-06,7769.21923828125,297.4482116699219,28703.380859375,9071.4697265625,13941.7998046875,1.8109999895095825,1566.199951171875,13.850000381469727,79.84910583496094,74.29241180419922,13798783827516.0,92602070.7246171,482628.25,302617.0,41.0
2020-01-07,8163.6923828125,296.6117858886719,28583.6796875,9068.580078125,13898.4501953125,1.8270000219345093,1571.800048828125,13.789999961853027,79.04019165039062,73.46410369873047,13798783827516.0,95002865.15081082,506191.5,310318.0,40.0
2020-01-08,8079.86279296875,298.192626953125,28745.08984375,9129.240234375,13934.4404296875,1.8739999532699585,1557.4000244140625,13.449999809265137,79.22952270507812,73.68927764892578,13798783827516.0,97403659.57700455,529754.75,318019.0,51.0
2020-01-09,7879.0712890625,300.2146301269531,28956.900390625,9203.4296875,13997.650390625,1.8580000400543213,1551.699951171875,12.539999961853027,79.27255249023438,73.64909362792969,13798783827516.0,99804454.00319827,553318.0,309298.25,44.0
2020-01-10,8166.55419921875,299.3506774902344,28823.76953125,9178.8603515625,13957.9697265625,1.8250000476837158,1557.5,12.5600004196167,79.96098327636719,74.21200561523438,13798783827516.0,102205248.429392,540388.5,300577.5,41.0
2020-01-11,8037.53759765625,,,,,,,,,,13803840294972.074,101555754.12705436,527459.0,291856.75,50.0
2020-01-12,8192.494140625,,,,,,,,,,13808896762428.15,100906259.82471675,514529.5,283136.0,45.0
2020-01-13,8144.1943359375,301.40936279296875,28907.05078125,9273.9296875,14042.650390625,1.8480000495910645,1548.4000244140625,12.319999694824219,80.81291198730469,75.10468292236328,13813953229884.227,100256765.52237913,501600.0,293838.75,49.0
2020-01-14,8827.7646484375,300.9498596191406,28939.669921875,9251.330078125,14037.1298828125,1.8179999589920044,1542.4000244140625,12.390000343322754,80.50311279296875,74.82321166992188,13819009697340.3,99607271.2200415,516738.25,304541.5,56.0
2020-01-15,8807.0107421875,301.6300048828125,29030.220703125,9258.7001953125,14053.23046875,1.7879999876022339,1552.0999755859375,12.420000076293945,81.21733856201172,75.49874877929688,14058349156927.477,98945181.48843613,531876.5,315244.25,54.0
2020-01-16,8723.7861328125,304.1390380859375,29297.640625,9357.1298828125,14141.7802734375,1.809000015258789,1549.0,12.319999694824219,81.81974792480469,76.10187530517578,14297688616514.65,98283091.75683075,547014.75,325947.0,55.0
2020-01-17,8929.0380859375,305.0857238769531,29348.099609375,9388.9404296875,14183.2001953125,1.8359999656677246,1558.800048828125,12.100000381469727,81.91438293457031,76.17427062988281,14537028076101.824,97621002.02522537,562153.0,322875.5,54.0
2020-01-18,8942.80859375,,,,,,,,,,14776367535689.0,96958912.29362,557746.0,319804.0,51.0
2020-01-19,8706.2451171875,,,,,,,,,,14776367535689.0,101366135.57969375,553339.0,316732.5,53.0
2020-01-20,8657.642578125,,,,,,,,,,14776367535689.0,105773358.86576751,548932.0,313661.0,48.0
2020-01-21,8745.89453125,304.4882507324219,29196.0390625,9370.8095703125,14109.98046875,1.7690000534057617,1556.4000244140625,12.850000381469727,82.74911499023438,76.89806365966797,14776367535689.0,110180582.15184125,544525.0,313717.5,49.0
2020-01-22,8680.8759765625,304.5251159667969,29186.26953125,9383.76953125,14110.240234375,1.7690000534057617,1555.300048828125,12.90999984741211,82.27581024169922,76.38334655761719,14776367535689.0,114587805.437915,523721.75,313774.0,52.0
2020-01-23,8406.515625,304.8742980957031,29160.08984375,9402.48046875,14102.0400390625,1.7400000095367432,1564.5999755859375,12.979999542236328,82.76632690429688,77.02672576904297,14776367535689.0,112200559.49129175,502918.5,313830.5,49.0
2020-01-24,8445.4345703125,302.1629638671875,28989.73046875,9314.91015625,13978.4697265625,1.680999994277954,1571.0999755859375,14.5600004196167,82.57699584960938,76.7613525390625,14776367535689.0,109813313.5446685,482115.25,313887.0,40.0
2020-01-25,8367.84765625,,,,,,,,,,14776367535689.0,107426067.59804524,461312.0,320428.25,41.0
2020-01-26,8596.830078125,,,,,,,,,,14776367535689.0,105038821.651422,489327.0,326969.5,42.0
2020-01-27,8909.8193359375,297.3195495605469,28535.80078125,9139.3095703125,13769.599609375,1.6050000190734863,1576.800048828125,18.229999542236328,82.18115234375,76.39140319824219,14948800385655.5,108763250.21856025,517342.0,333510.75,50.0
2020-01-28,9358.58984375,300.4351501464844,28722.849609375,9269.6796875,13877.6103515625,1.6410000324249268,1569.199951171875,16.280000686645508,82.53398132324219,76.6969985961914,15121233235622.0,112487678.7856985,545357.0,340052.0,54.0
2020-01-29,9316.6298828125,300.1871032714844,28734.44921875,9275.16015625,13843.8095703125,1.593999981880188,1569.800048828125,16.389999389648438,82.27581024169922,76.41552734375,15293666085588.5,116212107.35283674,573372.0,330970.0,57.0
2020-01-30,9508.9931640625,301.16119384765625,28859.439453125,9298.9296875,13861.919921875,1.5579999685287476,1583.5,15.489999771118164,82.37908172607422,76.4718246459961,15466098935555.0,119936535.919975,555334.5,321888.0,57.0
2020-01-31,9350.529296875,295.69281005859375,28256.029296875,9150.9404296875,13614.099609375,1.5199999809265137,1582.9000244140625,18.84000015258789,81.38087463378906,75.53894805908203,15466098935555.0,118398888.023565,537297.0,312806.0,55.0
2020-02-01,9392.875,,,,,,,,,,15466098935555.0,116861240.127155,519259.5,303724.0,57.0
2020-02-02,9344.365234375,,,,,,,,,,15466098935555.0,115323592.230745,501222.0,319944.0,57.0
2020-02-03,9293.521484375,297.8893127441406,28399.810546875,9273.400390625,13677.919921875,1.5199999809265137,1577.199951171875,17.969999313354492,81.63040924072266,75.78825378417969,15466098935555.0,113785944.334335,514019.25,336164.0,59.0
2020-02-04,9180.962890625,302.42950439453125,28807.630859375,9467.9697265625,13862.83984375,1.6030000448226929,1550.4000244140625,16.049999237060547,82.46513366699219,76.5683364868164,15466098935555.0,112056090.45087375,526816.5,352384.0,56.0
2020-02-05,9613.423828125,305.92205810546875,29290.849609375,9508.6796875,14024.8603515625,1.6490000486373901,1557.800048828125,15.149999618530273,82.48233795166016,76.61656951904297,15466098935555.0,110326236.5674125,539613.75,368604.0,53.0
2020-02-06,9729.8017578125,306.9513854980469,29379.76953125,9572.150390625,14034.9501953125,1.6440000534057617,1565.0999755859375,14.960000038146973,82.79212951660156,76.87393188476562,15466098935555.0,108596382.68395126,552411.0,355720.5,61.0
2020-02-07,9795.943359375,305.3154602050781,29102.509765625,9520.509765625,13931.9296875,1.5779999494552612,1568.5999755859375,15.470000267028809,82.7577133178711,76.85784149169922,15466098935555.0,106866528.80049,546014.5,342837.0,56.0
2020-02-08,9865.119140625,,,,,,,,,,15479857938641.775,108697609.3194365,539618.0,329953.5,56.0
2020-02-09,10116.673828125,,,,,,,,,,15493616941728.55,110528689.838383,533221.5,317070.0,56.0
2020-02-10,9856.611328125,307.5947570800781,29276.8203125,9628.3896484375,13984.48046875,1.5470000505447388,1574.699951171875,15.039999961853027,83.59243774414062,77.71833801269531,15507375944815.324,112359770.3573295,526825.0,322822.75,57.0
