"Date","hedge_ratio_tvp"
2020-01-03,1.13597902832227
2020-01-07,1.1349425685996
2020-01-08,1.10214239076348
2020-01-09,1.09706652260302
2020-01-10,1.07391320759536
2020-01-14,1.05844418794048
2020-01-15,1.05872007778452
2020-01-16,1.0511148490703
2020-01-17,1.04979757375923
2020-01-22,1.05134820706359
2020-01-23,1.0492477806115
2020-01-24,1.03825549256078
2020-01-28,1.06542572689702
2020-01-29,1.06541293946717
2020-01-30,1.06811606906713
2020-01-31,1.0649724022461
2020-02-04,1.03557600958994
2020-02-05,1.07588511198872
2020-02-06,1.07436730904007
2020-02-07,1.07126336362282
2020-02-11,1.07132697346754
2020-02-12,1.07055375459553
2020-02-13,1.07093764993136
2020-02-14,1.07131029084559
2020-02-19,1.05362762253392
2020-02-20,1.05179055692427
2020-02-21,1.03630083111613
2020-02-25,1.03984694103822
2020-02-26,1.04067422959903
2020-02-27,0.897362256697348
2020-02-28,0.900490991620362
2020-03-03,0.871320170101078
2020-03-04,0.807799553345439
2020-03-05,0.747598714673748
2020-03-06,0.689975400202808
2020-03-10,0.63332775410171
2020-03-11,0.633378773155132
2020-03-12,1.78221193690484
2020-03-13,2.00398002059035
2020-03-17,1.77352256534411
2020-03-18,1.73545820434976
2020-03-19,1.70935486070929
2020-03-20,1.65727260313152
2020-03-24,1.57147347206614
2020-03-25,1.52602063044085
2020-03-26,1.4489024546148
2020-03-27,1.45786701658223
2020-03-31,1.44549855123025
2020-04-01,1.37527450590275
2020-04-02,1.38034283009614
2020-04-03,1.38014090028199
2020-04-07,1.38041094673597
2020-04-08,1.36869294681663
2020-04-09,1.35706775161753
2020-04-14,1.33651755083438
2020-04-15,1.340350198808
2020-04-16,1.33991689825056
2020-04-17,1.32097988576948
2020-04-21,1.30805407260119
2020-04-22,1.31246089492521
2020-04-23,1.3147384445107
2020-04-24,1.31441085599868
2020-04-28,1.31433492913944
2020-04-29,1.34755282514444
2020-04-30,1.34738327165387
2020-05-01,1.31834995412228
2020-05-05,1.31919756433255
2020-05-06,1.3160850453331
2020-05-07,1.32739252210159
2020-05-08,1.31482287457996
2020-05-12,1.30151555348347
2020-05-13,1.27451203728206
2020-05-14,1.28216671070426
2020-05-15,1.27516751435877
2020-05-19,1.27290669308012
2020-05-20,1.26307432243598
2020-05-21,1.2678694233829
2020-05-22,1.26750828124879
2020-05-27,1.27225114549389
2020-05-28,1.27313379082917
2020-05-29,1.27181134834832
2020-06-02,1.26128967400075
2020-06-03,1.2599923426246
2020-06-04,1.25979336698802
2020-06-05,1.23946566478402
2020-06-09,1.23914456262437
2020-06-10,1.23698287191816
2020-06-11,1.21877567821114
2020-06-12,1.21877996253142
2020-06-16,1.21230753724484
2020-06-17,1.21252634204173
2020-06-18,1.21268668267067
2020-06-19,1.21355592140633
2020-06-23,1.21325957869328
2020-06-24,1.21510544287202
2020-06-25,1.21405858852618
2020-06-26,1.20779127831917
2020-06-30,1.2055547983495
2020-07-01,1.20512847932111
2020-07-02,1.20270154011843
2020-07-07,1.20333358785043
2020-07-08,1.20439265072368
2020-07-09,1.20538955663497
2020-07-10,1.20365872984041
2020-07-14,1.19856012903967
2020-07-15,1.1943698011421
2020-07-16,1.19471475999731
2020-07-17,1.19468160176906
2020-07-21,1.19541405493647
2020-07-22,1.19647932339946
2020-07-23,1.19229503426782
2020-07-24,1.19128511254896
2020-07-28,1.1910358358697
2020-07-29,1.19178085659974
2020-07-30,1.19172611905235
2020-07-31,1.19314157068939
2020-08-04,1.19191004062059
2020-08-05,1.19680720624184
2020-08-06,1.19535082538231
2020-08-07,1.1949027729945
2020-08-11,1.20174231913694
2020-08-12,1.20170978724803
2020-08-13,1.20178693439858
2020-08-14,1.20179102680528
2020-08-18,1.20099205317384
2020-08-19,1.20313619399275
2020-08-20,1.20326995333879
2020-08-21,1.20053797763545
2020-08-25,1.19843525489833
2020-08-26,1.19795120246253
2020-08-27,1.19623631376648
2020-08-28,1.19761788518345
2020-09-01,1.20054824347837
2020-09-02,1.17265304015749
2020-09-03,1.2362745292616
2020-09-04,1.21585759232879
2020-09-09,1.20993315270943
2020-09-10,1.19905751279669
2020-09-11,1.198670125229
2020-09-15,1.19912163584824
2020-09-16,1.19730205564648
2020-09-17,1.19526814346865
2020-09-18,1.19017441281272
2020-09-22,1.18940919919457
2020-09-23,1.19085229466738
2020-09-24,1.1872364119546
2020-09-25,1.1752650208957
2020-09-29,1.17381901629647
2020-09-30,1.17147453808011
2020-10-01,1.16671336335166
2020-10-02,1.16529689058813
2020-10-06,1.16560783155131
2020-10-07,1.16058572794104
2020-10-08,1.16373388243844
2020-10-09,1.16410722937726
2020-10-13,1.1649738086435
2020-10-14,1.16313322775715
2020-10-15,1.16249262296519
2020-10-16,1.1631383575
2020-10-20,1.16398009619843
2020-10-21,1.16017128045685
2020-10-22,1.16074502660789
2020-10-23,1.15981870510464
2020-10-27,1.15481520807448
2020-10-28,1.14292808663983
2020-10-29,1.14337893093412
2020-10-30,1.13834560372695
2020-11-03,1.14278267131707
2020-11-04,1.13127903532393
2020-11-05,1.17986340743594
2020-11-06,1.17927605111651
2020-11-10,1.17938486200547
2020-11-11,1.18284234660078
2020-11-12,1.170193658137
2020-11-13,1.16536047086184
2020-11-17,1.15828175019967
2020-11-18,1.14834612045512
2020-11-19,1.14822110878613
2020-11-20,1.13696331605463
2020-11-24,1.14777294571579
2020-11-25,1.14731252954689
2020-12-01,1.12951416992024
2020-12-02,1.13104194250177
2020-12-03,1.13089229371156
2020-12-04,1.11748117126776
2020-12-08,1.11190522367999
2020-12-09,1.10407995045217
2020-12-10,1.10528253999592
2020-12-11,1.10600560301879
2020-12-15,1.10329220236681
2020-12-16,1.11284488473944
2020-12-17,1.12498202029562
2020-12-18,1.12335621656265
2020-12-22,1.11869084799418
2020-12-23,1.11869498641227
2020-12-24,1.1209101585299
2020-12-29,1.12024352102354
2020-12-30,1.12117346291377
2020-12-31,1.12014260576197
2021-01-05,1.13402408380658
2021-01-06,1.15022872888868
2021-01-07,1.17178030684949
2021-01-08,1.1753210919667
2021-01-12,1.17618064654405
2021-01-13,1.188728710836
2021-01-14,1.17911747679037
2021-01-15,1.20161965446787
2021-01-20,1.18980411859234
2021-01-21,1.17630118826031
2021-01-22,1.16172534065973
2021-01-26,1.16124083101499
2021-01-27,1.20352077353863
2021-01-28,1.22182982325647
2021-01-29,1.18613706386427
2021-02-02,1.20453767994485
2021-02-03,1.2104718737824
2021-02-04,1.19455540711746
2021-02-05,1.20044351958285
2021-02-09,1.20036028461947
2021-02-10,1.20216372661711
2021-02-11,1.20409542564981
2021-02-12,1.20000807166829
2021-02-17,1.20087973924747
2021-02-18,1.20241348207355
2021-02-19,1.19059194831756
2021-02-23,1.1871715498677
2021-02-24,1.1886362178043
2021-02-25,1.21807549260303
2021-02-26,1.22124203018854
2021-03-02,1.22817144414191
2021-03-03,1.1846154297718
2021-03-04,1.20000229507675
2021-03-05,1.19056446994398
2021-03-09,1.21030985156706
2021-03-10,1.21424602695587
2021-03-11,1.22271753499959
2021-03-12,1.22142991090414
2021-03-16,1.21992431429869
2021-03-17,1.22432233750063
2021-03-18,1.22458410324115
2021-03-19,1.22186102222739
2021-03-23,1.21627977395669
2021-03-24,1.22532605007985
2021-03-25,1.22020550821664
2021-03-26,1.25238102688997
2021-03-30,1.25181807326855
2021-03-31,1.25093580559057
2021-04-01,1.24450145677689
2021-04-06,1.24495357339298
2021-04-07,1.24480284466965
2021-04-08,1.25020134372288
2021-04-09,1.24525940672463
2021-04-13,1.25277636416723
2021-04-14,1.25305945616189
2021-04-15,1.24792495683716
2021-04-16,1.24120279731942
2021-04-20,1.23167402571017
2021-04-21,1.20495088671943
2021-04-22,1.22466077897823
2021-04-23,1.21271969641494
2021-04-27,1.21266217031976
2021-04-28,1.21279111988522
2021-04-29,1.20263627747627
2021-04-30,1.16983107615779
2021-05-04,1.19097059581194
2021-05-05,1.18044526094334
2021-05-06,1.16949425105139
2021-05-07,1.17037585265678
2021-05-11,1.15830904153293
2021-05-12,1.30898982599448
