"Band","Mean","SE","CI_Lower","CI_Upper"
"Total",30.9989505965067,1.61312995665089,27.5455304991675,34.0221961923055
"Short-term",24.7188585820303,1.34021933150293,22.0708238488249,27.1250791417205
"Long-term",6.28009201447646,1.18476358494674,4.4966605062361,8.70472555427038
