"Period","N","BTC_Mean_Return","BTC_Median_Return","BTC_Positive_Pct","BTC_SPY_Correlation"
"SPY Crash Days (Bottom 5%)",58,-4.0534542627883,-2.8649091183099,22.4138,0.469789211502649
"Normal Days",1089,0.373329960015653,0.199304647416554,52.7089,0.316256412474919
